Date,Price_x,Open_x,High_x,Low_x,Vol._x,Change %_x,Price_y,Open_y,High_y,Low_y,Vol._y,Change %_y,DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7,event,var_name,var_label
2026-04-13,"4,734.30","4,693.65","4,766.62","4,686.80",89.06K,0.87%,101.88,103.06,103.49,98.86,265.97K,-1.19%,20260413,294,304.22,494.23,393.5,292.76,292.47,,,
2026-04-12,"4,693.30","4,709.50","4,713.65","4,626.00",,-1.97%,103.11,102.5,103.88,101.67,40.43K,8.31%,20260412,312,169.88,211.69,176.57,292.98,289.74,,,
2026-04-10,"4,787.40","4,790.50","4,820.00","4,752.70",121.57K,-0.64%,95.2,96.6,98.26,94.2,345.21K,-0.75%,20260410,533,329.39,359.36,289.4,299.14,285.01,,,
2026-04-09,"4,818.00","4,744.80","4,826.00","4,718.60",133.63K,0.85%,95.92,97.1,99.5,94.22,488.29K,1.23%,20260409,489,413.22,526.76,428.1,300.45,272.94,,,
2026-04-08,"4,777.20","4,747.20","4,888.00","4,720.60",215.12K,1.97%,94.75,95.0,97.22,90.4,732.00K,-13.29%,20260408,483,294.91,478.60,296.55,301.92,260.53,,,
2026-04-07,"4,684.70","4,678.60","4,745.70","4,631.90",145.71K,0.00%,109.27,110.25,111.8,102.71,591.95K,-0.46%,20260407,443,254.24,328.00,248.71,304.49,259.18,,,
2026-04-06,"4,684.70","4,675.00","4,733.10","4,626.20",89.41K,0.11%,109.77,110.0,111.89,106.85,265.51K,0.68%,20260406,395,285.13,250.81,292.88,303.14,282.67,,,
2026-04-02,"4,679.70","4,783.00","4,825.90","4,580.40",190.44K,-2.77%,109.03,100.7,109.74,99.08,512.52K,7.78%,20260402,538,326.33,441.95,378.87,318.87,292.69,,,
2026-04-01,"4,813.10","4,698.40","4,821.00","4,690.00",166.76K,2.87%,101.16,103.63,105.94,98.35,530.80K,-14.52%,20260401,499,285.45,423.55,331.2,321.03,285.88,,,
2026-03-31,"4,678.60","4,538.90","4,717.60","4,510.00",176.39K,2.66%,118.35,115.04,119.24,111.35,18.80K,4.94%,20260331,451,418.66,541.85,439.74,328.2,292.25,,,
2026-03-30,"4,557.50","4,520.00","4,611.40","4,444.70",157.75K,1.08%,112.78,114.5,116.89,111.41,129.59K,0.19%,20260330,472,259.67,377.81,233.43,323.38,280.34,,,
2026-03-27,"4,508.60","4,398.10","4,568.30","4,389.40",5.22K,2.65%,112.57,106.6,114.88,105.09,104.03K,4.22%,20260327,551,258.51,419.54,169.97,313.87,292.26,,,
2026-03-26,"4,392.30","4,539.80","4,552.20","4,366.70",4.51K,-3.86%,108.01,102.93,109.05,102.75,192.50K,5.66%,20260326,523,278.69,378.86,316.0,309.87,299.51,,,
2026-03-25,"4,568.60","4,487.90","4,616.30","4,475.00",3.93K,3.41%,102.22,100.32,103.37,97.15,262.61K,1.99%,20260325,552,330.06,382.88,389.22,307.17,315.22,,,
2026-03-24,"4,418.00","4,434.00","4,500.00","4,330.00",2.85K,-0.13%,100.23,97.12,100.77,94.15,565.36K,4.49%,20260324,494,335.28,414.47,401.47,300.81,318.5,,,
2026-03-23,"4,423.60","4,475.00","4,542.60","4,124.40",4.92K,-4.04%,95.92,107.5,109.78,91.7,802.80K,-9.86%,20260323,504,315.48,511.08,262.33,291.7,327.7,,,
2026-03-20,"4,609.60","4,689.40","4,773.30","4,512.10",48.02K,-0.67%,106.41,102.6,107.37,100.47,514.31K,2.53%,20260320,557,309.25,403.16,306.61,275.09,323.16,,,
2026-03-19,"4,640.50","4,860.50","4,903.30","4,539.50",66.19K,-5.93%,103.78,105.17,112.12,99.51,753.55K,0.84%,20260319,537,388.63,467.37,389.84,268.85,325.09,,,
2026-03-18,"4,932.90","5,046.60","5,058.40","4,846.60",47.59K,-2.23%,102.92,99.55,106.96,96.7,548.52K,3.55%,20260318,563,353.03,504.45,313.12,258.45,314.33,,,
2026-03-17,"5,045.60","5,049.10","5,085.00","5,014.40",20.54K,0.12%,99.39,97.3,100.33,97.22,380.70K,3.49%,20260317,489,399.68,607.80,349.24,249.11,316.56,,,
2026-03-16,"5,039.40","5,049.30","5,082.00","5,009.50",32.01K,-0.44%,96.04,100.7,101.63,95.39,424.92K,-6.88%,20260316,460,223.24,315.88,239.52,236.51,324.77,,,
2026-03-13,"5,061.70","5,084.00","5,132.40","5,014.10",160.33K,-1.25%,103.14,101.68,103.95,97.6,453.07K,2.67%,20260313,626,322.79,506.43,246.41,219.84,324.82,,,
2026-03-12,"5,125.80","5,185.40","5,197.80","5,058.20",153.53K,-1.03%,100.46,96.84,101.85,95.2,660.22K,9.22%,20260312,645,313.28,460.80,230.61,212.65,323.67,,,
2026-03-11,"5,179.10","5,194.00","5,230.90","5,155.90",140.34K,-1.20%,91.98,90.4,93.8,86.24,689.37K,4.76%,20260311,620,368.66,543.29,346.53,204.18,337.97,,,
2026-03-10,"5,242.10","5,152.40","5,248.70","5,127.10",179.58K,2.71%,87.8,92.49,95.04,81.16,881.22K,-11.28%,20260310,558,457.11,627.33,434.4,195.69,351.87,,,
2026-03-09,"5,103.70","5,186.70","5,210.40","5,021.20",181.75K,-1.07%,98.96,99.75,119.5,83.66,1.22M,6.76%,20260309,543,372.13,608.17,365.24,182.6,342.43,,,
2026-03-06,"5,158.70","5,099.70","5,185.00","5,071.00",160.27K,1.58%,92.69,83.54,94.64,83.16,1.01M,8.52%,20260306,642,314.75,390.93,240.27,168.41,352.91,,,
